zcta,aland_sqm
00601,166659744
00602,79307538
00603,81887203
00606,109579950
00610,93013430
00612,175065114
00616,29862630
00617,39355368
00622,75090752
00623,98335000
00624,111794963
00627,120058676
00631,10414669
00637,89222626
00638,171055425
00641,242243041
00646,53681613
00647,39379843
00650,79052766
00652,17915348
00653,39477260
00656,83954595
00659,108200655
00660,29384892
00662,114927972
00664,117897681
00667,156209677
00669,159419232
00670,118025321
00674,116433919
00676,130630335
00677,37137332
00678,68274032
00680,166308109
00682,37304322
00683,135167707
00685,200808252
00687,100676194
00688,82408347
00690,7292572
00692,69309250
00693,101816857
00694,2070447
00698,180312890
00703,76855359
00704,12632279
00705,82748305
00707,54561533
00714,37866742
00715,20381785
00716,22174333
00717,5443510
00718,117171776
00719,72527840
00720,154382622
00723,119553980
00725,109357735
00727,55678137
00728,40524726
00729,87961324
00730,16873784
00731,123629336
00735,60368950
00736,142702112
00738,76345243
00739,81796387
00740,1103407
00741,6121387
00745,133676567
00751,121693706
00754,132164366
00757,77271800
00765,49323163
00766,103701684
00767,143501382
00769,198169782
00771,87591179
00772,37996901
00773,62966803
00775,27392741
00777,68848064
00778,76769096
00780,52112335
00782,69008756
00783,108367778
00784,144002890
00786,666251
00791,95625611
00794,91419779
00795,119809173
00801,2875851
00802,71678116
00820,78982028
00823,1035364
00824,57054
00830,50005510
00831,119742
00840,48722702
00841,6600911
00850,60061141
00851,19686484
00901,2535591
00906,8247
00907,3118631
00909,1580638
00911,1232506
00912,862980
00913,834834
00915,3616962
00917,3360014
00918,5516964
00920,7363180
00921,6923313
00923,5285549
00924,12154899
00925,1158082
00926,62577141
00927,6805789
00934,1938926
00936,417954
00949,45543338
00950,6204978
00951,1075640
00952,3202145
00953,69143619
00956,68564545
00957,11967889
00959,16617995
00960,2366333
00961,13404396
00962,9888766
00965,1746398
00966,8340962
00968,1185647
00969,12646641
00971,41344879
00976,43330243
00979,4047122
00982,3672315
00983,8971202
00985,21075476
00987,64342430
01001,29797658
01002,142615075
01003,1842387
01005,114638390
01007,136237871
01008,139349132
01009,2104351
01010,90055966
01011,81827921
01012,33971286
01013,14557865
01020,32472747
01022,12360971
01026,62173902
01027,104889990
01028,33504997
01029,41050308
01030,30612526
01031,21012724
01032,30467676
01033,72039732
01034,185539400
01035,59785375
01036,50464357
01037,36534057
01038,25871790
01039,34227443
01040,54816657
01050,99263985
01053,13289902
01054,59026773
01056,70436044
01057,116418495
01060,28294446
01062,47016296
01063,100502
01066,1842125
01068,53925831
01069,72749311
01070,53343561
01071,40310831
01072,51998763
01073,72918698
01074,220264
01075,45885680
01077,79831033
01079,2913267
01080,4472243
01081,37594975
01082,119469885
01083,40799386
01084,23799816
01085,154654081
01086,96152
01088,13456517
01089,43324802
01092,17375638
01093,13060370
01094,2957300
01095,58261405
